type,name,confidence,page_number,line_number
topic,see,0.0449438202247191,1,0
topic,citations,0.0449438202247191,1,0
topic,univ,0.033707865168539325,1,0
topic,ersity,0.033707865168539325,1,0
topic,publica,0.033707865168539325,1,0
topic,myint,0.09090909090909091,2,0
topic,swe,0.09090909090909091,2,0
topic,khine,0.09090909090909091,2,0
topic,editor,0.09090909090909091,2,0
topic,machine,0.09090909090909091,2,0
topic,machine,0.25,3,0
topic,learning,0.25,3,0
topic,educational,0.25,3,0
topic,sciences,0.25,3,0
topic,myint,0.09090909090909091,4,0
topic,swe,0.09090909090909091,4,0
topic,khine,0.09090909090909091,4,0
topic,editor,0.09090909090909091,4,0
topic,machine,0.09090909090909091,4,0
topic,singapore,0.02666666666666667,5,0
topic,publisher,0.02666666666666667,5,0
topic,springer,0.02,5,0
topic,names,0.02,5,0
topic,registered,0.02,5,0
topic,learning,0.05421686746987952,6,0
topic,educational,0.04819277108433735,6,0
topic,ai,0.030120481927710843,6,0
topic,machine,0.030120481927710843,6,0
topic,students,0.024096385542168676,6,0
topic,valuable,0.05128205128205128,7,0
topic,vi,0.02564102564102564,7,0
topic,preface,0.02564102564102564,7,0
topic,would,0.02564102564102564,7,0
topic,like,0.02564102564102564,7,0
topic,machine,0.05504587155963303,8,0
topic,learning,0.05504587155963303,8,0
topic,performance,0.027522935779816515,8,0
topic,introduction,0.01834862385321101,8,0
topic,educational,0.01834862385321101,8,0
topic,learning,0.05232558139534884,9,0
topic,machine,0.040697674418604654,9,0
topic,assessment,0.023255813953488372,9,0
topic,students,0.011627906976744186,9,0
topic,performance,0.011627906976744186,9,0
topic,education,0.0457516339869281,10,0
topic,university,0.0392156862745098,10,0
topic,research,0.032679738562091505,10,0
topic,emirates,0.0196078431372549,10,0
topic,science,0.0196078431372549,10,0
topic,university,0.04013377926421405,11,0
topic,learning,0.023411371237458192,11,0
topic,research,0.020066889632107024,11,0
topic,engineering,0.013377926421404682,11,0
topic,education,0.013377926421404682,11,0
topic,university,0.0449438202247191,12,0
topic,learning,0.0449438202247191,12,0
topic,research,0.04119850187265917,12,0
topic,educational,0.0299625468164794,12,0
topic,education,0.018726591760299626,12,0
topic,university,0.030821917808219176,13,0
topic,engineering,0.023972602739726026,13,0
topic,research,0.02054794520547945,13,0
topic,science,0.02054794520547945,13,0
topic,computing,0.017123287671232876,13,0
topic,university,0.0425531914893617,14,0
topic,education,0.03900709219858156,14,0
topic,learning,0.028368794326241134,14,0
topic,research,0.02127659574468085,14,0
topic,information,0.01773049645390071,14,0
topic,research,0.03832752613240418,15,0
topic,education,0.0313588850174216,15,0
topic,international,0.027874564459930314,15,0
topic,university,0.024390243902439025,15,0
topic,received,0.013937282229965157,15,0
topic,university,0.045454545454545456,16,0
topic,learning,0.027972027972027972,16,0
topic,research,0.02097902097902098,16,0
topic,machine,0.02097902097902098,16,0
topic,science,0.02097902097902098,16,0
topic,university,0.0449438202247191,17,0
topic,research,0.03745318352059925,17,0
topic,science,0.0299625468164794,17,0
topic,statistics,0.026217228464419477,17,0
topic,data,0.026217228464419477,17,0
topic,editor,0.041666666666666664,18,0
topic,contributors,0.041666666666666664,18,0
topic,xvii,0.041666666666666664,18,0
topic,address,0.041666666666666664,18,0
topic,issues,0.041666666666666664,18,0
topic,introduction,1.0,19,0
topic,learning,0.07281553398058252,20,0
topic,machine,0.06796116504854369,20,0
topic,educational,0.024271844660194174,20,0
topic,intelligence,0.024271844660194174,20,0
topic,artiﬁcial,0.019417475728155338,20,0
topic,machine,0.08280254777070063,21,0
topic,learning,0.08280254777070063,21,0
topic,research,0.03184713375796178,21,0
topic,chapter,0.025477707006369428,21,0
topic,book,0.01910828025477707,21,0
topic,learning,0.04153354632587859,22,0
topic,machine,0.025559105431309903,22,0
topic,students,0.025559105431309903,22,0
topic,data,0.022364217252396165,22,0
topic,performance,0.022364217252396165,22,0
topic,learning,0.05223880597014925,23,0
topic,machine,0.033582089552238806,23,0
topic,chap,0.018656716417910446,23,0
topic,assessment,0.018656716417910446,23,0
topic,authors,0.014925373134328358,23,0
topic,learning,0.04391891891891892,24,0
topic,machine,0.037162162162162164,24,0
topic,research,0.02702702702702703,24,0
topic,models,0.02027027027027027,24,0
topic,used,0.016891891891891893,24,0
topic,machine,0.06896551724137931,25,0
topic,learning,0.06896551724137931,25,0
topic,3,0.06896551724137931,25,0
topic,8,0.034482758620689655,25,0
topic,khine,0.034482758620689655,25,0
topic,foundations,0.3333333333333333,26,0
topic,machine,0.3333333333333333,26,0
topic,learning,0.3333333333333333,26,0
topic,learning,0.047619047619047616,27,0
topic,data,0.04285714285714286,27,0
topic,machine,0.0380952380952381,27,0
topic,educational,0.03333333333333333,27,0
topic,researchers,0.02857142857142857,27,0
topic,data,0.09121621621621621,28,0
topic,learning,0.033783783783783786,28,0
topic,big,0.02702702702702703,28,0
topic,machine,0.02364864864864865,28,0
topic,analysis,0.02027027027027027,28,0
topic,learning,0.052083333333333336,29,0
topic,data,0.052083333333333336,29,0
topic,educational,0.024305555555555556,29,0
topic,ml,0.020833333333333332,29,0
topic,techniques,0.017361111111111112,29,0
topic,ml,0.056,30,0
topic,data,0.056,30,0
topic,machine,0.016,30,0
topic,learning,0.016,30,0
topic,steps,0.016,30,0
topic,data,0.059375,31,0
topic,ml,0.028125,31,0
topic,model,0.025,31,0
topic,learning,0.021875,31,0
topic,may,0.021875,31,0
topic,learning,0.03428571428571429,32,0
topic,data,0.03428571428571429,32,0
topic,model,0.03428571428571429,32,0
topic,supervised,0.02857142857142857,32,0
